<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 69.5100000 69.9200000 69.5000000 69.8800000 409350
240103 103000 69.8800000 70.1400000 69.8500000 70.1200000 360910
240103 110000 70.1100000 70.1200000 69.9500000 70.0100000 238460
240103 113000 70.0200000 70.1000000 69.9100000 70.0000000 168860
240103 120000 70.0000000 70.0600000 69.2800000 69.6300000 2356530
240103 123000 69.6400000 69.7000000 69.4000000 69.6900000 399210
240103 130000 69.6900000 69.8500000 69.5900000 69.8100000 390190
240103 133000 69.8100000 69.8500000 69.5000000 69.5900000 241330
240103 140000 69.5800000 69.6600000 69.4800000 69.6200000 208190
240103 143000 69.6300000 69.6300000 69.4700000 69.5000000 198910
240103 150000 69.4900000 69.7000000 69.4900000 69.6700000 413340
240103 153000 69.6700000 69.7500000 69.6100000 69.6500000 95050
240103 160000 69.6400000 69.7500000 69.6000000 69.7000000 207860
240103 163000 69.7000000 69.7200000 69.6100000 69.6600000 217890
240103 170000 69.6500000 69.7000000 69.6200000 69.6800000 78350
240103 173000 69.6700000 69.7800000 69.6400000 69.7700000 76080
240103 180000 69.7700000 69.8300000 69.7600000 69.8300000 191790
240103 183000 69.8300000 69.9600000 69.8000000 69.9600000 255470
240103 190000 69.6900000 69.9600000 69.6900000 69.8300000 71200
240103 193000 69.8200000 69.8700000 69.8100000 69.8600000 58840
240103 200000 69.8300000 69.9500000 69.8200000 69.9000000 203390
240103 203000 69.9000000 69.9500000 69.8700000 69.9500000 37550
240103 210000 69.9500000 69.9500000 69.9100000 69.9200000 61400
240103 213000 69.9300000 70.1200000 69.9100000 70.0900000 266190
240103 220000 70.0900000 70.1100000 70.0100000 70.0200000 77170
240103 223000 70.0400000 70.0900000 69.9800000 70.0200000 83140
240103 230000 70.0300000 71.0800000 70.0200000 71.0000000 830300
240103 233000 71.0000000 71.3000000 70.8700000 71.2000000 476740
240104 100000 71.0000000 71.2900000 70.7500000 70.8600000 1175340
240104 103000 70.8500000 70.9000000 70.5100000 70.7300000 745290
240104 110000 70.7000000 70.9800000 70.6800000 70.8000000 291780
240104 113000 70.8000000 70.9500000 70.7800000 70.9500000 218980
240104 120000 70.9400000 71.2400000 70.9000000 70.9000000 363180
240104 123000 70.9000000 70.9200000 70.7000000 70.7000000 290790
240104 130000 70.7000000 70.8900000 70.7000000 70.8800000 121380
