<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 159.7300000 161.1800000 159.7300000 161.0400000 1566220
240103 103000 161.0400000 161.3500000 161.0200000 161.2100000 872130
240103 110000 161.2200000 161.2500000 160.9000000 161.0200000 406910
240103 113000 161.0300000 161.3000000 161.0000000 161.1400000 408770
240103 120000 161.1400000 161.1400000 160.8200000 160.9100000 311470
240103 123000 160.9200000 161.2200000 160.8900000 161.1800000 261080
240103 130000 161.1800000 161.5800000 161.1800000 161.4200000 624560
240103 133000 161.4200000 161.4300000 161.1800000 161.2300000 138880
240103 140000 161.2300000 161.3000000 161.0600000 161.1900000 225400
240103 143000 161.1800000 161.2300000 160.7600000 161.0100000 378760
240103 150000 161.0100000 161.2300000 160.9900000 161.1800000 206900
240103 153000 161.1700000 161.2000000 161.0400000 161.1600000 129020
240103 160000 161.1600000 161.1700000 161.0000000 161.0100000 106510
240103 163000 161.0000000 161.1900000 161.0000000 161.0200000 164420
240103 170000 161.0200000 161.1800000 161.0000000 161.1500000 113280
240103 173000 161.1600000 161.4000000 161.1100000 161.3900000 147310
240103 180000 161.3900000 161.4000000 161.0600000 161.1400000 402280
240103 183000 161.1300000 161.3800000 161.1100000 161.3800000 296330
240103 190000 161.3600000 161.3600000 161.2100000 161.3100000 83800
240103 193000 161.3100000 161.3100000 161.0900000 161.2000000 108550
240103 200000 161.2100000 161.2100000 161.0500000 161.0800000 293570
240103 203000 161.0700000 161.1500000 161.0400000 161.1500000 127100
240103 210000 161.1500000 161.1600000 161.0700000 161.1400000 60300
240103 213000 161.1400000 161.2000000 161.0600000 161.1700000 149530
240103 220000 161.1600000 161.2700000 161.1400000 161.2700000 87630
240103 223000 161.2700000 161.3000000 161.2700000 161.3000000 78160
240103 230000 161.3000000 161.4900000 161.2900000 161.3500000 220020
240103 233000 161.3700000 161.4400000 161.3000000 161.4400000 111280
240104 100000 161.5100000 161.6400000 161.0400000 161.3600000 609430
240104 103000 161.3500000 161.3500000 161.0000000 161.1800000 546110
240104 110000 161.1700000 161.2200000 161.0800000 161.1500000 205140
