<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 7014.5000000 7086.0000000 7014.5000000 7064.0000000 22206
240103 103000 7064.0000000 7090.0000000 7064.0000000 7087.0000000 9274
240103 110000 7087.0000000 7089.5000000 7075.0000000 7080.5000000 9521
240103 113000 7080.5000000 7082.0000000 7078.5000000 7078.5000000 2855
240103 120000 7077.5000000 7080.0000000 7069.5000000 7073.0000000 4342
240103 123000 7072.5000000 7088.5000000 7071.0000000 7088.0000000 5012
240103 130000 7088.0000000 7096.5000000 7081.0000000 7083.0000000 6632
240103 133000 7083.0000000 7089.5000000 7081.0000000 7085.5000000 2442
240103 140000 7085.5000000 7116.0000000 7085.5000000 7107.0000000 12199
240103 143000 7106.5000000 7108.0000000 7096.0000000 7100.0000000 5126
240103 150000 7100.0000000 7138.0000000 7100.0000000 7125.0000000 10246
240103 153000 7125.0000000 7144.0000000 7124.5000000 7137.0000000 12972
240103 160000 7137.0000000 7148.0000000 7137.0000000 7145.0000000 5375
240103 163000 7145.5000000 7153.0000000 7140.5000000 7148.5000000 8133
240103 170000 7150.0000000 7170.0000000 7147.0000000 7148.0000000 8420
240103 173000 7148.0000000 7155.0000000 7144.0000000 7149.0000000 9007
240103 180000 7149.5000000 7155.0000000 7149.0000000 7152.5000000 6114
240103 183000 7152.5000000 7157.5000000 7152.5000000 7155.5000000 5275
240103 190000 7157.5000000 7187.5000000 7157.0000000 7174.5000000 9572
240103 193000 7175.0000000 7181.0000000 7171.5000000 7180.0000000 4660
240103 200000 7180.0000000 7185.0000000 7173.0000000 7185.0000000 4169
240103 203000 7184.5000000 7185.0000000 7175.0000000 7175.5000000 3922
240103 210000 7175.5000000 7184.0000000 7166.5000000 7173.5000000 2844
240103 213000 7174.0000000 7179.5000000 7172.5000000 7178.0000000 832
240103 220000 7178.5000000 7185.0000000 7178.0000000 7182.0000000 3285
240103 223000 7182.0000000 7183.5000000 7179.0000000 7180.0000000 3792
240103 230000 7179.5000000 7183.0000000 7176.0000000 7177.0000000 4116
240103 233000 7179.5000000 7187.0000000 7179.5000000 7187.0000000 4109
240104 100000 7189.5000000 7247.0000000 7189.5000000 7231.0000000 41673
240104 103000 7231.0000000 7247.0000000 7221.0000000 7237.5000000 16430
240104 110000 7237.0000000 7294.0000000 7234.0000000 7292.5000000 29969
240104 113000 7293.0000000 7316.5000000 7283.5000000 7301.0000000 33061
240104 120000 7301.0000000 7307.0000000 7300.0000000 7300.0000000 11497
240104 123000 7300.5000000 7305.5000000 7239.0000000 7259.0000000 35479
240104 130000 7256.0000000 7268.0000000 7242.0000000 7267.5000000 14303
240104 133000 7267.5000000 7296.0000000 7267.0000000 7281.0000000 9327
240104 140000 7281.0000000 7300.0000000 7280.0000000 7289.0000000 5390
240104 143000 7289.0000000 7295.5000000 7284.0000000 7287.5000000 3679
240104 150000 7288.0000000 7294.5000000 7276.5000000 7277.5000000 4423
240104 153000 7277.5000000 7282.5000000 7264.5000000 7282.0000000 4696
240104 160000 7282.5000000 7288.5000000 7268.5000000 7284.0000000 3888
240104 163000 7280.5000000 7291.0000000 7278.0000000 7285.0000000 3164
240104 170000 7285.5000000 7287.0000000 7277.0000000 7280.0000000 3335
