<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 248.8500000 250.0000000 248.8000000 249.3500000 89530
240103 103000 249.3500000 250.9000000 249.3000000 250.4000000 102170
240103 110000 250.2500000 250.4000000 250.0500000 250.4000000 32970
240103 113000 250.4000000 250.7000000 250.0500000 250.5000000 40730
240103 120000 250.5000000 250.6500000 250.3500000 250.6500000 24560
240103 123000 250.6000000 250.7000000 250.3000000 250.5000000 28740
240103 130000 250.4500000 250.5000000 250.0500000 250.3000000 31030
240103 133000 250.3000000 250.6000000 250.2500000 250.3500000 26380
240103 140000 250.3000000 250.3500000 250.0500000 250.3000000 18240
240103 143000 250.3000000 250.3500000 250.0500000 250.0500000 21800
240103 150000 250.1000000 250.4000000 250.0500000 250.4000000 18530
240103 153000 250.4000000 250.5500000 249.6000000 249.6000000 145090
240103 160000 249.7000000 249.9000000 249.5500000 249.7500000 28190
240103 163000 249.7500000 249.8500000 249.4500000 249.6500000 30920
240103 170000 249.6500000 249.9000000 249.4000000 249.9000000 29300
240103 173000 249.8000000 250.8000000 249.7000000 250.4500000 88920
240103 180000 250.4500000 250.7000000 250.2500000 250.6500000 42770
240103 183000 250.6000000 250.6000000 249.5500000 249.5500000 84790
240103 190000 249.9000000 250.2000000 249.7500000 250.0000000 24820
240103 193000 249.9000000 250.0500000 249.7500000 249.8500000 10660
240103 200000 249.8500000 250.0500000 249.8000000 250.0500000 10580
240103 203000 250.0500000 250.1000000 249.9000000 250.0500000 8020
240103 210000 250.0000000 250.2000000 250.0000000 250.2000000 4380
240103 213000 250.1500000 250.4000000 250.0000000 250.2500000 13220
240103 220000 250.2500000 250.3500000 250.0500000 250.1500000 6210
240103 223000 250.2000000 250.4000000 250.0500000 250.1500000 14850
240103 230000 250.1500000 250.3000000 250.0500000 250.3000000 9010
240103 233000 250.3000000 250.4000000 250.0500000 250.2000000 21720
240104 100000 250.0000000 250.7500000 250.0000000 250.5500000 50430
240104 103000 250.6000000 250.7000000 250.0000000 250.0500000 94830
240104 110000 250.0000000 250.0500000 249.7000000 249.9500000 44940
240104 113000 249.9500000 250.1000000 249.9000000 250.1000000 68460
240104 120000 250.0500000 250.5000000 249.7000000 249.9000000 134730
240104 123000 249.9000000 250.0500000 248.3000000 248.5000000 189960
240104 130000 248.5000000 249.2500000 248.5000000 249.2000000 47170
240104 133000 249.2000000 249.4000000 249.0500000 249.1500000 13840
240104 140000 249.3000000 249.4500000 249.2000000 249.4000000 7570
240104 143000 249.4000000 249.7500000 249.0000000 249.7500000 79210
240104 150000 249.7500000 249.8000000 249.5500000 249.8000000 21590
240104 153000 249.8000000 250.1500000 249.6500000 250.1500000 48220
240104 160000 250.1500000 250.3000000 249.5500000 249.9000000 26470
240104 163000 249.9000000 249.9000000 249.7000000 249.7500000 7380
240104 170000 249.7500000 249.8500000 249.5000000 249.7000000 18610
240104 173000 249.7500000 249.9000000 249.7000000 249.8000000 7010
240104 180000 249.8500000 250.1500000 249.7500000 250.1500000 26370
240104 183000 250.0500000 250.9500000 249.9000000 250.9500000 190390
240104 190000 250.9000000 250.9000000 250.3000000 250.6500000 80310
240104 193000 250.6000000 250.6500000 250.2000000 250.2500000 29030
240104 200000 250.2000000 250.4500000 250.0000000 250.3000000 30690
240104 203000 250.3000000 250.5000000 250.1000000 250.2500000 9660
240104 210000 250.2500000 250.3000000 250.1000000 250.2000000 5820
240104 213000 250.2000000 250.3500000 250.1000000 250.3000000 10520
240104 220000 250.3000000 250.6500000 250.2000000 250.2500000 30850
240104 223000 250.2500000 250.5500000 250.2000000 250.5000000 7020
