<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 1465.4000000 1474.6000000 1465.0000000 1472.2000000 21060
240103 103000 1472.2000000 1481.8000000 1472.2000000 1481.6000000 29486
240103 110000 1481.0000000 1485.2000000 1480.8000000 1481.2000000 13028
240103 113000 1481.0000000 1483.0000000 1480.4000000 1482.4000000 12393
240103 120000 1482.4000000 1482.4000000 1481.0000000 1482.0000000 5997
240103 123000 1482.0000000 1483.0000000 1481.0000000 1481.6000000 3731
240103 130000 1481.6000000 1482.0000000 1480.2000000 1481.4000000 8496
240103 133000 1481.4000000 1482.2000000 1480.6000000 1480.8000000 3064
240103 140000 1481.6000000 1482.6000000 1481.6000000 1482.6000000 2299
240103 143000 1482.8000000 1482.8000000 1480.8000000 1481.2000000 3015
240103 150000 1481.6000000 1481.8000000 1479.6000000 1480.2000000 3950
240103 153000 1479.6000000 1481.2000000 1477.8000000 1481.2000000 7485
240103 160000 1481.0000000 1481.6000000 1480.0000000 1480.2000000 2748
240103 163000 1480.2000000 1480.6000000 1477.8000000 1478.6000000 4406
240103 170000 1478.6000000 1481.8000000 1477.8000000 1481.8000000 8051
240103 173000 1481.8000000 1482.4000000 1481.2000000 1482.4000000 6211
240103 180000 1482.4000000 1482.8000000 1481.0000000 1481.2000000 5226
240103 183000 1481.8000000 1482.8000000 1481.0000000 1481.0000000 2393
240103 190000 1482.6000000 1483.4000000 1478.8000000 1480.0000000 5355
240103 193000 1479.6000000 1482.2000000 1479.4000000 1481.0000000 2681
240103 200000 1481.6000000 1482.6000000 1481.0000000 1482.6000000 1494
240103 203000 1482.2000000 1482.6000000 1481.4000000 1482.0000000 800
240103 210000 1482.0000000 1482.8000000 1481.6000000 1482.6000000 1925
240103 213000 1482.6000000 1482.6000000 1482.0000000 1482.6000000 750
240103 220000 1482.2000000 1482.6000000 1481.8000000 1482.4000000 870
240103 223000 1482.6000000 1483.0000000 1481.8000000 1483.0000000 1782
240103 230000 1483.0000000 1484.0000000 1482.8000000 1483.6000000 3994
240103 233000 1483.2000000 1485.0000000 1483.2000000 1484.8000000 4641
240104 100000 1487.0000000 1497.0000000 1485.6000000 1495.8000000 44218
240104 103000 1496.0000000 1497.2000000 1491.0000000 1492.2000000 14775
240104 110000 1492.0000000 1496.6000000 1491.6000000 1496.6000000 21933
240104 113000 1496.4000000 1497.0000000 1494.6000000 1495.8000000 6472
240104 120000 1495.2000000 1497.0000000 1490.2000000 1491.4000000 13984
240104 123000 1491.6000000 1492.8000000 1488.4000000 1488.8000000 8311
240104 130000 1488.8000000 1491.0000000 1486.2000000 1489.6000000 10989
240104 133000 1489.6000000 1492.2000000 1489.4000000 1490.6000000 4228
240104 140000 1490.6000000 1492.8000000 1489.2000000 1492.4000000 5657
240104 143000 1492.4000000 1492.4000000 1489.0000000 1490.8000000 7064
240104 150000 1490.4000000 1490.8000000 1485.0000000 1487.6000000 14449
240104 153000 1487.6000000 1490.4000000 1486.8000000 1486.8000000 7566
240104 160000 1486.6000000 1488.2000000 1485.2000000 1487.6000000 3671
240104 163000 1487.0000000 1487.6000000 1485.6000000 1486.2000000 4086
240104 170000 1486.0000000 1486.2000000 1484.8000000 1484.8000000 5620
240104 173000 1485.0000000 1485.0000000 1479.0000000 1481.4000000 26301
240104 180000 1481.4000000 1483.6000000 1480.8000000 1481.0000000 8133
240104 183000 1481.0000000 1481.2000000 1479.0000000 1479.6000000 7487
240104 190000 1480.2000000 1480.8000000 1474.0000000 1476.8000000 17798
240104 193000 1476.8000000 1477.6000000 1475.2000000 1477.6000000 4326
240104 200000 1477.6000000 1478.2000000 1476.6000000 1477.4000000 2745
240104 203000 1477.2000000 1479.0000000 1477.0000000 1478.8000000 4162
240104 210000 1478.6000000 1478.8000000 1477.4000000 1477.6000000 1228
240104 213000 1477.8000000 1478.0000000 1477.2000000 1477.8000000 2877
240104 220000 1478.2000000 1481.0000000 1478.2000000 1481.0000000 9757
240104 223000 1481.0000000 1481.0000000 1479.4000000 1479.4000000 732
240104 230000 1479.8000000 1480.8000000 1479.8000000 1480.6000000 982
240104 233000 1480.6000000 1481.6000000 1479.6000000 1479.6000000 3014
240105 100000 1481.8000000 1488.8000000 1480.0000000 1488.2000000 20932
240105 103000 1488.4000000 1489.2000000 1485.8000000 1487.8000000 11090
240105 110000 1488.0000000 1488.2000000 1482.0000000 1482.8000000 11650
240105 113000 1482.8000000 1483.6000000 1481.2000000 1483.0000000 4520
240105 120000 1482.8000000 1483.0000000 1481.0000000 1481.6000000 7251
240105 123000 1481.6000000 1482.0000000 1480.0000000 1480.4000000 1732
240105 130000 1480.0000000 1481.8000000 1480.0000000 1481.6000000 2317
240105 133000 1481.8000000 1481.8000000 1480.4000000 1481.2000000 2894
240105 140000 1481.0000000 1481.2000000 1479.0000000 1480.8000000 12007
240105 143000 1480.6000000 1481.0000000 1479.2000000 1480.4000000 14776
240105 150000 1481.0000000 1481.0000000 1479.0000000 1479.2000000 11919
240105 153000 1479.4000000 1479.8000000 1478.8000000 1479.8000000 11119
240105 160000 1479.8000000 1480.4000000 1479.2000000 1480.2000000 12131
240105 163000 1480.2000000 1480.2000000 1479.2000000 1479.2000000 11583
240105 170000 1479.4000000 1482.0000000 1479.0000000 1481.8000000 16766
240105 173000 1481.8000000 1482.8000000 1480.0000000 1481.0000000 14771
240105 180000 1480.6000000 1481.0000000 1477.6000000 1478.6000000 13534
240105 183000 1478.6000000 1479.8000000 1478.4000000 1479.2000000 3950
240105 190000 1479.0000000 1479.0000000 1477.4000000 1478.0000000 1874
240105 193000 1478.0000000 1479.2000000 1476.8000000 1478.0000000 2210
240105 200000 1478.0000000 1478.8000000 1477.6000000 1478.8000000 1470
