<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 595.5500000 598.0000000 594.7500000 597.3500000 276993
240103 103000 597.4000000 599.7000000 597.2500000 599.6500000 190250
240103 110000 599.7000000 599.9000000 599.0500000 599.5500000 68150
240103 113000 599.5500000 599.7500000 599.2000000 599.5500000 43873
240103 120000 599.5000000 599.5500000 597.7500000 598.7500000 108262
240103 123000 598.7500000 599.3000000 598.0500000 599.0000000 57162
240103 130000 598.9500000 599.0000000 597.0000000 598.4500000 76744
240103 133000 598.4500000 598.7000000 598.0500000 598.5500000 29313
240103 140000 598.4500000 599.2000000 598.4500000 599.1500000 36870
240103 143000 599.1500000 599.7500000 599.1000000 599.6500000 61231
240103 150000 599.5000000 599.8000000 599.2000000 599.7500000 23211
240103 153000 599.7500000 599.7500000 598.6000000 598.6500000 33766
240103 160000 598.6500000 599.6000000 598.6000000 599.1500000 39005
240103 163000 599.1500000 599.6500000 598.7000000 599.6500000 23400
240103 170000 599.6500000 601.3000000 599.3000000 600.7500000 242588
240103 173000 600.7500000 602.7000000 600.6000000 602.2000000 117533
240103 180000 602.0500000 602.8000000 601.5500000 602.1500000 55769
240103 183000 602.2000000 602.2000000 600.0500000 600.0500000 76779
240103 190000 600.1000000 602.5000000 600.0500000 602.2000000 53384
240103 193000 602.1500000 602.6000000 601.8500000 602.0000000 39138
240103 200000 602.0000000 602.0000000 601.7500000 601.7500000 6937
240103 203000 601.8000000 602.2500000 601.7500000 602.2000000 27468
240103 210000 602.2000000 603.4500000 602.1000000 603.1000000 48899
240103 213000 603.1500000 603.5500000 603.0000000 603.3000000 23605
240103 220000 603.2500000 603.3000000 603.0000000 603.0000000 26681
240103 223000 603.0500000 603.3000000 603.0000000 603.1000000 22244
240103 230000 603.2000000 603.4500000 603.0500000 603.3000000 16839
240103 233000 603.3000000 604.0000000 603.0000000 604.0000000 113854
240104 100000 605.2500000 605.6000000 600.5000000 602.9500000 315350
240104 103000 602.8500000 603.5000000 602.6500000 603.3500000 76564
240104 110000 603.3500000 603.3500000 602.7500000 602.8500000 50892
240104 113000 602.9000000 603.2500000 602.7000000 603.0000000 53169
240104 120000 603.1000000 603.3500000 603.0000000 603.2000000 43108
240104 123000 603.2000000 603.4500000 602.2000000 602.2000000 62394
240104 130000 602.1500000 603.4500000 602.0000000 602.8000000 49494
240104 133000 602.8000000 603.0000000 602.0000000 602.3000000 20593
240104 140000 602.3000000 602.5000000 602.1000000 602.1000000 12888
240104 143000 602.1500000 602.5000000 601.8000000 602.0000000 31172
240104 150000 602.0000000 602.0000000 601.0000000 601.8000000 50180
