<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 271.7500000 271.9000000 271.0000000 271.8900000 1535410
240103 103000 271.8900000 273.7000000 271.8800000 273.4800000 3713020
240103 110000 273.4900000 274.3600000 273.4800000 274.0100000 2413780
240103 113000 274.0100000 274.2100000 273.8300000 273.9300000 910970
240103 120000 273.9300000 273.9500000 273.0900000 273.3900000 1550200
240103 123000 273.3900000 273.8100000 273.2100000 273.7000000 675370
240103 130000 273.7000000 273.8600000 273.2500000 273.8500000 669540
240103 133000 273.8500000 274.2000000 273.7000000 273.7200000 979240
240103 140000 273.7100000 274.0900000 273.7000000 274.0000000 380840
240103 143000 274.0200000 274.1000000 273.8400000 274.1000000 384900
240103 150000 274.1000000 274.4500000 274.0600000 274.2500000 938310
240103 153000 274.2200000 274.3600000 274.0800000 274.3400000 324350
240103 160000 274.3300000 274.3500000 273.9000000 273.9100000 457690
240103 163000 273.9200000 274.2700000 273.9000000 274.2400000 322670
240103 170000 274.2000000 274.2800000 274.0800000 274.1700000 215120
240103 173000 274.1700000 274.3500000 274.1500000 274.2700000 818190
240103 180000 274.2700000 274.3800000 274.1100000 274.1500000 429970
240103 183000 274.1900000 274.3200000 273.6400000 273.6400000 1366780
240103 190000 273.7800000 273.9600000 273.7700000 273.9100000 549230
240103 193000 273.9100000 273.9600000 273.8000000 273.9500000 146920
240103 200000 273.9300000 273.9400000 273.8200000 273.9000000 45130
240103 203000 273.9100000 273.9500000 273.7700000 273.8500000 136520
240103 210000 273.8000000 273.9500000 273.7500000 273.9300000 96230
240103 213000 273.9400000 274.1000000 273.8500000 274.0900000 213640
240103 220000 274.0900000 274.1000000 273.9300000 274.0200000 133160
240103 223000 274.0200000 274.1000000 273.9400000 274.1000000 120360
240103 230000 274.0900000 274.4000000 274.0400000 274.3100000 413930
240103 233000 274.3600000 274.7000000 274.3200000 274.5600000 467090
240104 100000 274.6800000 275.4800000 274.6000000 274.8400000 2434990
240104 103000 274.8400000 274.9300000 274.1000000 274.4500000 1708170
240104 110000 274.4500000 274.5500000 274.2600000 274.5000000 334310
240104 113000 274.5000000 274.9100000 274.4700000 274.8500000 742170
240104 120000 274.8600000 274.8900000 274.2400000 274.2500000 528880
240104 123000 274.2800000 274.6600000 273.8400000 273.8900000 953610
