<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 0.0227150 0.0228200 0.0227100 0.0228100 3761130000
240103 103000 0.0228100 0.0229150 0.0228100 0.0228400 3722430000
240103 110000 0.0228350 0.0228950 0.0228000 0.0228950 2689060000
240103 113000 0.0228850 0.0229150 0.0228700 0.0229150 1260680000
240103 120000 0.0229100 0.0229150 0.0228450 0.0228700 1417970000
240103 123000 0.0228700 0.0228800 0.0228550 0.0228650 438320000
240103 130000 0.0228650 0.0229050 0.0228500 0.0229000 2085860000
240103 133000 0.0229050 0.0229450 0.0229000 0.0229200 1166320000
240103 140000 0.0229200 0.0229550 0.0229200 0.0229200 1024800000
240103 143000 0.0229200 0.0229350 0.0229150 0.0229200 654140000
240103 150000 0.0229250 0.0229550 0.0229200 0.0229500 769230000
240103 153000 0.0229500 0.0230100 0.0229400 0.0229800 2099530000
240103 160000 0.0229800 0.0230250 0.0229400 0.0229450 2458270000
240103 163000 0.0229450 0.0229550 0.0229150 0.0229200 787710000
240103 170000 0.0229250 0.0229300 0.0228650 0.0229250 1804820000
240103 173000 0.0229200 0.0229550 0.0229200 0.0229300 360350000
240103 180000 0.0229300 0.0229400 0.0228950 0.0229250 1191430000
240103 183000 0.0229200 0.0229850 0.0229150 0.0229850 1370060000
240103 190000 0.0229850 0.0229850 0.0229500 0.0229700 663210000
240103 193000 0.0229700 0.0229700 0.0229350 0.0229500 602700000
240103 200000 0.0229500 0.0229550 0.0229100 0.0229400 559470000
240103 203000 0.0229400 0.0229450 0.0229300 0.0229400 318650000
240103 210000 0.0229400 0.0230400 0.0229250 0.0230100 3049500000
240103 213000 0.0230100 0.0230300 0.0230000 0.0230200 692500000
240103 220000 0.0230100 0.0230200 0.0229900 0.0230150 304270000
240103 223000 0.0230150 0.0230200 0.0230000 0.0230200 112170000
240103 230000 0.0230150 0.0230150 0.0229650 0.0229950 479080000
240103 233000 0.0229950 0.0230250 0.0229900 0.0230250 282100000
240104 100000 0.0230250 0.0231400 0.0230050 0.0230350 3946710000
240104 103000 0.0230350 0.0230350 0.0229700 0.0230350 1813180000
240104 110000 0.0230250 0.0230300 0.0229850 0.0230250 878450000
240104 113000 0.0230250 0.0231250 0.0230150 0.0231250 1409890000
240104 120000 0.0231250 0.0231950 0.0231150 0.0231450 4304500000
240104 123000 0.0231450 0.0231750 0.0231050 0.0231100 2228470000
240104 130000 0.0231150 0.0231900 0.0231000 0.0231600 1885120000
240104 133000 0.0231550 0.0231650 0.0231250 0.0231300 1118450000
240104 140000 0.0231300 0.0231700 0.0231150 0.0231550 768660000
240104 143000 0.0231500 0.0231600 0.0231300 0.0231400 778280000
240104 150000 0.0231450 0.0231500 0.0231250 0.0231400 604280000
240104 153000 0.0231400 0.0231450 0.0230000 0.0230650 3095320000
240104 160000 0.0230650 0.0230650 0.0230300 0.0230550 885210000
240104 163000 0.0230500 0.0230700 0.0230350 0.0230650 894740000
240104 170000 0.0230700 0.0230800 0.0230550 0.0230700 430010000
240104 173000 0.0230750 0.0230900 0.0230550 0.0230700 736730000
240104 180000 0.0230650 0.0231000 0.0230600 0.0230900 684210000
240104 183000 0.0230900 0.0231150 0.0230650 0.0231150 579780000
240104 190000 0.0231000 0.0231100 0.0230600 0.0230750 408950000
240104 193000 0.0230700 0.0230750 0.0230400 0.0230600 446890000
240104 200000 0.0230600 0.0230650 0.0230400 0.0230600 243010000
240104 203000 0.0230600 0.0230600 0.0230400 0.0230500 130680000
240104 210000 0.0230550 0.0230650 0.0230450 0.0230650 97950000
240104 213000 0.0230500 0.0231000 0.0230500 0.0230900 428640000
240104 220000 0.0230850 0.0231000 0.0230700 0.0230800 114120000
240104 223000 0.0230800 0.0230950 0.0230650 0.0230850 306350000
240104 230000 0.0230800 0.0231250 0.0230750 0.0230800 396120000
240104 233000 0.0230850 0.0231250 0.0230750 0.0231100 207100000
240105 100000 0.0231050 0.0235950 0.0230800 0.0234950 21114240000
240105 103000 0.0234950 0.0235050 0.0233800 0.0234450 8791030000
240105 110000 0.0234500 0.0234900 0.0233600 0.0234650 5728180000
240105 113000 0.0234650 0.0234750 0.0233700 0.0233950 2172440000
240105 120000 0.0234000 0.0234600 0.0233850 0.0234200 1933950000
240105 123000 0.0234200 0.0234700 0.0234050 0.0234350 1335410000
240105 130000 0.0234350 0.0236350 0.0234300 0.0236150 5471260000
240105 133000 0.0236200 0.0236650 0.0235850 0.0236350 8694210000
240105 140000 0.0236350 0.0237900 0.0236100 0.0237400 12263430000
240105 143000 0.0237400 0.0237450 0.0236500 0.0236600 5231310000
240105 150000 0.0236550 0.0238250 0.0236150 0.0238000 9755400000
240105 153000 0.0238000 0.0239000 0.0237650 0.0238050 11642760000
240105 160000 0.0238100 0.0238500 0.0237650 0.0238150 4820840000
