<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
240103 100000 2550.0000000 2588.0000000 2542.0000000 2579.0000000 94131
240103 103000 2579.0000000 2584.4000000 2571.8000000 2580.0000000 26483
240103 110000 2579.2000000 2583.8000000 2576.6000000 2581.4000000 24003
240103 113000 2581.0000000 2593.0000000 2580.8000000 2585.4000000 36772
240103 120000 2585.4000000 2585.6000000 2576.0000000 2577.2000000 34425
240103 123000 2578.0000000 2580.4000000 2576.0000000 2579.4000000 11368
240103 130000 2579.4000000 2583.4000000 2575.2000000 2579.0000000 15751
240103 133000 2578.8000000 2582.0000000 2576.2000000 2581.8000000 12433
240103 140000 2582.0000000 2584.2000000 2581.8000000 2583.0000000 7401
240103 143000 2583.2000000 2583.6000000 2578.0000000 2580.0000000 9372
240103 150000 2580.0000000 2580.0000000 2575.2000000 2579.0000000 10091
240103 153000 2579.0000000 2579.2000000 2569.0000000 2569.6000000 21724
240103 160000 2569.6000000 2576.6000000 2569.2000000 2574.4000000 9017
240103 163000 2574.8000000 2575.0000000 2570.2000000 2575.0000000 8170
240103 170000 2575.0000000 2578.0000000 2574.0000000 2576.6000000 7887
240103 173000 2576.0000000 2576.0000000 2572.0000000 2572.8000000 6015
240103 180000 2573.0000000 2577.0000000 2571.6000000 2575.4000000 6779
240103 183000 2576.0000000 2577.4000000 2570.4000000 2570.4000000 16589
240103 190000 2574.2000000 2575.0000000 2571.0000000 2574.6000000 6662
240103 193000 2574.6000000 2576.0000000 2573.2000000 2574.8000000 4022
240103 200000 2573.6000000 2576.0000000 2572.2000000 2575.8000000 5521
240103 203000 2575.8000000 2578.0000000 2574.2000000 2577.4000000 6830
240103 210000 2577.6000000 2584.0000000 2577.4000000 2582.0000000 15470
240103 213000 2582.0000000 2582.0000000 2577.4000000 2580.2000000 5507
240103 220000 2580.8000000 2580.8000000 2576.0000000 2579.0000000 3469
240103 223000 2577.6000000 2579.0000000 2574.4000000 2575.2000000 6642
240103 230000 2576.0000000 2579.0000000 2575.0000000 2579.0000000 6947
240103 233000 2579.0000000 2582.0000000 2578.8000000 2581.0000000 6398
240104 100000 2575.0000000 2580.4000000 2561.6000000 2569.2000000 59601
240104 103000 2569.4000000 2571.8000000 2561.2000000 2562.0000000 57675
